"","phyc_auc_glm","phyc_auc_gam","phyc_auc_gbm1","phyc_auc_gbm2"
"42",0.770815928710666,0.781119465329992,0.949039264828738,0.957950431634642
"43",0.744212962962963,0.745949074074074,0.872395833333333,0.892071759259259
"44",0.793415886439142,0.79130172153428,0.906976744186047,0.924494110540622
"45",0.779755283648498,0.789210233592881,0.89377085650723,0.909065628476085
"46",0.745230078563412,0.754489337822671,0.922839506172839,0.938271604938272
"47",0.774651889741404,0.772094344984371,0.897129866439329,0.924694515487354
"48",0.776119402985075,0.784567727400732,0.891298225851873,0.91044776119403
"49",0.734814814814815,0.743703703703704,0.936296296296296,0.944296296296296
"50",0.756365740740741,0.774594907407407,0.93287037037037,0.942418981481482
"51",0.816685267857143,0.819196428571429,0.924944196428571,0.936662946428571
"52",0.736975499859195,0.74317093776401,0.877780906786821,0.896085609687412
"53",0.743243243243243,0.759400705052879,0.90716803760282,0.919212690951821
"54",0.697062937062937,0.702937062937063,0.877482517482517,0.903496503496503
"55",0.756043345373715,0.76021116976938,0.894415115309808,0.918310641844957
"56",0.730382293762575,0.739005461339465,0.905432595573441,0.92296636964645
"57",0.737373737373737,0.74354657687991,0.922278338945006,0.938271604938272
"58",0.745814732142857,0.748883928571429,0.879185267857143,0.900390625
"59",0.707317073170732,0.702994751466502,0.879283729546156,0.899660389008953
"60",0.800223214285714,0.806640625,0.941685267857143,0.960100446428571
"61",0.732027972027972,0.734265734265734,0.866853146853147,0.889510489510489
"62",0.741019214703425,0.738512949039265,0.903926482873851,0.921470342522974
"63",0.761678321678322,0.754125874125874,0.901818181818182,0.913006993006993
"64",0.74888765294772,0.753615127919911,0.906840934371524,0.916852057842047
"65",0.785485281259108,0.779364616729816,0.92684348586418,0.945496939667735
"66",0.702845982142857,0.697823660714286,0.879185267857143,0.890625
"67",0.778921023359288,0.78587319243604,0.925194660734149,0.941323692992214
"68",0.788732394366197,0.790744466800805,0.918367346938776,0.932451853981029
"69",0.744015770205576,0.752745705435089,0.88313151225007,0.907350042241622
"70",0.74131703250903,0.743262017227007,0.891358710752987,0.907196443456516
"71",0.803435651929034,0.814981695297099,0.923965080259082,0.936637566882568
"72",0.754716981132076,0.757533089270628,0.879188960856097,0.892987890735004
"73",0.778061949417448,0.778061949417448,0.90565501562944,0.934072179596476
"74",0.770336303535499,0.782121299223915,0.91463064098879,0.933889048577177
"75",0.741925837320574,0.747906698564593,0.902811004784689,0.921650717703349
"76",0.831827455552317,0.828621393179831,0.929466627805305,0.944914019236374
"77",0.771372876636035,0.770537454747981,0.891395154553049,0.905318852687274
"78",0.779411764705882,0.779694570135747,0.942024886877828,0.952488687782805
"79",0.769980506822612,0.771929824561403,0.890281258702311,0.900584795321637
"80",0.741687979539642,0.741687979539642,0.898834896277352,0.911054276783177
"81",0.700358851674641,0.701854066985646,0.896232057416268,0.904605263157895
"82",0.782657342657343,0.793286713286713,0.923636363636364,0.941818181818182
"83",0.731305803571429,0.732421875,0.916573660714286,0.934709821428571
"84",0.737444196428571,0.737723214285714,0.866629464285714,0.887834821428571
"85",0.800337932976626,0.813855252041678,0.969304421289778,0.97803435651929
"86",0.795714285714286,0.804285714285714,0.925142857142857,0.940285714285714
"87",0.784849338214587,0.785130949028443,0.94424105885666,0.95015488594762
"88",0.723560517038778,0.734136310223267,0.898942420681551,0.914218566392479
"89",0.669352597943873,0.662128368991386,0.864128924701306,0.88691303139761
"90",0.74916573971079,0.745550611790879,0.901279199110122,0.916852057842047
"91",0.679160839160839,0.691188811188811,0.861538461538462,0.882797202797203
"92",0.716965046888321,0.716112531969309,0.86615515771526,0.888320545609548
"93",0.82494212962963,0.832465277777778,0.921296296296296,0.93431712962963
"94",0.701612903225806,0.711067853170189,0.931034482758621,0.945494994438265
"95",0.755331088664422,0.753086419753086,0.875140291806959,0.894781144781145
"96",0.742143658810325,0.74635241301908,0.912177328843995,0.922839506172839
"97",0.735011312217195,0.733597285067873,0.893665158371041,0.90893665158371
"98",0.73472850678733,0.733314479638009,0.895927601809955,0.916006787330317
"99",0.765345982142857,0.763950892857143,0.923270089285714,0.934430803571429
"100",0.730639730639731,0.723905723905724,0.911335578002245,0.927048260381594
